strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA100_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vixNone,100,200,45,75,25,SHY,2,True,,1421908.15,88.73,-61.91,0.9856,1.4333,285,15.1,1422008146.95
SMA50_200_RSI50_UPRO75_cash_delay0_cautionTrue_vixNone,50,200,50,75,25,cash,0,True,,1382260.05,88.38,-47.8,0.9843,1.8488,374,15.1,1382360051.83
SMA100_200_RSI45_UPRO75_cash_delay2_cautionTrue_vixNone,100,200,45,75,25,cash,2,True,,1338695.64,87.98,-61.88,0.9807,1.4217,285,15.1,1338795643.84
SMA50_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vix35,50,200,45,75,25,SHY,0,True,35.0,1192790.44,86.54,-63.79,0.9754,1.3566,300,15.1,1192890441.65
SMA50_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vix35,50,200,45,75,25,SHY,2,True,35.0,1173216.65,86.34,-63.12,0.974,1.3677,299,15.1,1173316649.31
SMA100_200_RSI40_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,40,75,25,TLT,0,True,35.0,1213811.2,86.76,-66.25,0.9734,1.3095,226,15.1,1213911203.75
SMA100_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vixNone,100,200,45,75,25,SHY,0,True,,1220936.99,86.83,-61.91,0.9733,1.4026,287,15.1,1221036994.57
SMA50_200_RSI45_UPRO75_cash_delay0_cautionTrue_vix35,50,200,45,75,25,cash,0,True,35.0,1123765.88,85.8,-62.63,0.9705,1.3701,300,15.1,1123865884.76
SMA100_200_RSI35_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,35,100,0,SHY,0,True,,31584.82,46.59,-63.37,0.97,0.7352,107,15.1,31684815.33
SMA50_200_RSI45_UPRO75_cash_delay2_cautionTrue_vix35,50,200,45,75,25,cash,2,True,35.0,1111624.34,85.67,-61.94,0.9696,1.3831,299,15.1,1111724344.07
SMA100_200_RSI45_UPRO75_cash_delay0_cautionTrue_vixNone,100,200,45,75,25,cash,0,True,,1156283.98,86.16,-61.88,0.9689,1.3923,287,15.1,1156383976.53
SMA100_200_RSI35_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,35,100,0,cash,0,True,,30922.56,46.39,-62.48,0.9672,0.7424,107,15.1,31022558.27
SMA50_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vixNone,50,200,45,75,25,TLT,2,True,,994848.85,84.31,-72.14,0.9576,1.1687,289,15.1,994948846.4
SMA50_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vixNone,50,200,45,75,25,TLT,0,True,,966015.78,83.95,-72.97,0.9552,1.1504,290,15.1,966115784.44
SMA100_200_RSI40_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,40,75,25,SHY,2,True,35.0,959810.58,83.87,-61.96,0.955,1.3536,226,15.1,959910578.09
SMA100_200_RSI40_UPRO75_cash_delay2_cautionTrue_vix35,100,200,40,75,25,cash,2,True,35.0,911971.87,83.24,-61.85,0.9509,1.3459,226,15.1,912071873.92
SMA100_200_RSI40_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,40,75,25,SHY,0,True,35.0,841718.17,82.27,-61.96,0.9444,1.3279,226,15.1,841818166.31
SMA100_200_RSI40_UPRO75_cash_delay0_cautionTrue_vix35,100,200,40,75,25,cash,0,True,35.0,804504.7,81.72,-61.85,0.9408,1.3213,226,15.1,804604702.86
